id,companyName,webURL,parentCompany,optoutLink,optoutInstructions,optoutComplete
41,CheckPeople,CheckPeople.com,,https://checkpeople.com/do-not-sell-info,"Use the opt out form and fill out the information as it apears on your listing. Find your listing and click ""Opt out.""",FALSE
42,CheckThem,CheckThem.com,,https://www.checkthem.com/optout/,"Use the opt out form and fill out the informaion. Find the matching result and click ""Choose"" for profile deletion.",FALSE
43,CIA,CIAdata,,legal@CIAdata.com ,Email legal@CIAdata.com with the basic opt-out form with “Removal” in the subject line.,FALSE
44,City-Data,City-Data.com,,https://www.city-data.com/,"Find your own listing, and press blue link “Request disassociating your name from street-level assessment address”. Fill out form. ",FALSE
45,ClassFinders,ClassFinders.com,,https://www.classfinders.com/name_removal.php ,Use the opt out form to complete the removal process.,FALSE
46,classmates,classmates.com,,https://www.classmates.com/,Log into your account navigate to your account settings and change the offending information. You can also delete your account from the settings panel.,FALSE
47,ClustrMaps,ClustrMaps.com,,https://clustrmaps.com/bl/opt-out,Use the opt out form to complete the removal process.,FALSE
48,confidentialphonelookup,confidentialphonelookup.com,,https://www.confidentialphonelookup.com/contact/,Send message through contact form requesting removal.,FALSE
49,ContactOut,ContactOut.com,,support@contactout.com ,Email support@contactout.com with “Removal” as the subject.,FALSE
50,ContractorsCalifornia,ContractorsCalifornia.org,,removals@licensedata.org,"Enter your first and last name, click ‘Find’. Copy the URL of your listing and email your removal request with the listing’s URL at removals@licensedata.org with ""Removal Request"" as the subject.",FALSE
51,councilon,councilon.com,,https://councilon.com/ex/control/privacy,"Enter your first and last name city and state and find your profile if it exists. If it does, submit opt out form for profile removal.",FALSE
52,courtcasefinder,courtcasefinder.com,,https://courtcasefinder.com/optout,Use the opt-out (Remove Your Information) Form to complete the removal process.,FALSE
53,CourtRecords,CourtRecords.org,,https://members.courtrecords.org/customer/opt-out,Fill out Remove Your Information/Opt out form to opt out.,FALSE
54,CourtRegistry,CourtRegistry.org,,https://www.courtregistry.org/contact/,Use the contact form to request profile removal.,FALSE
55,CorporationWiki,CorporationWiki.com,,https://www.corporationwiki.com/profiles/public,Use the Opt-out Request Form to complete the removal process.,FALSE
56,Criminal-Records,Criminal-Records.org,Infotracer,https://www.infotracer.com/optout/,Criminal-records.org is owned by infotracer. Use the opt out form and fill out the information as it apears on your listing.,FALSE
57,CriminalPages,CriminalPages.com,Infotracer,https://www.infotracer.com/optout/,Criminal-records.org is owned by infotracer. Use the opt out form and fill out the information as it apears on your listing.,FALSE
58,cubib,cubib.com,,https://cubib.com,"Search for yourself on cubib, find your own listing(s) and click ""opt out"". Follow the instructions or removal including listing the information you want removed as it appears in your listing. ",FALSE
59,CyberBackgroundChecks,CyberBackgroundChecks.com,,https://www.cyberbackgroundchecks.com/removal,"Use the removal form to search for your listing, click ""view details"" on your profile if it exists, then follow the instructions for the opt-out process.",FALSE
60,DeathRecords,DeathRecords.org,,http://deathrecords.org/index.php?xpath=lp_optout,Follow the instructions in the link for the opt out process.,FALSE
61,DentistsCalifornia,DentistsCalifornia.org,,removals@licensedata.org ,"Enter your first and last name, click ‘Find’. Copy the URL of your listing and email your removal request with the listing’s URL at removals@licensedata.org with ""Removal Request"" as the subject.",FALSE
62,dex-knows,dex-knows.com,Whitepages,https://www.whitepages.com/suppression_requests,"Dex-knows is owned by whitepages, so removing yourself from whitepages will remove you from Dex-knows. To remove yourself from whitepages, search for yourself, click ""View Details"" on your listing and copy the URL of your page. Enter this URL into the Whitepages opt out form https://www.whitepages.com/suppression_requests.",FALSE
63,DirectMail,DirectMail.com,,https://www.directmail.com/mail_preference/,(National Do Not Mail List) Use the opt out form to join the National Do Not Mail list.,FALSE
64,DMAChoice,DMAChoice.org,,https://www.dmachoice.org/register.php,Use the registration link to manage the mail you receive.,FALSE
65,DOBSearch,DOBSearch.com,,https://www.dobsearch.com/,"Search for your own name and select the listing that belongs to you. Scroll down and click ""Manage my Listings"" and follow the instructions provided for removal.",FALSE
66,DoNotCall,DoNotCall.gov,,https://www.donotcall.gov/register.html,(National Do Not Call Registry) Use the register form to place yourself on the National Do Not Call registry.,FALSE
67,easybackgrounds,easybackgrounds.com,,1-800-538-6525,"EasyBackgrounds.com cannot remove your information from their site, as they collect information from other databases and public records. You may try contacting them at 1-800-538-6525.",FALSE
68,EasyBackgroundChecks,EasyBackgroundChecks.com,Intelius,https://intelius.com/optout,"Go to the opt out link and search for your listing. If it exists, click ""select and continue"" next to your profile and enter a throwaway email address to verify your opt-out request and request removal.",FALSE
69,EmailFinder,EmailFinder.com,PeopleSmart,https://www.peoplesmart.com/optout-go,"Search for your own listing on the opt out website. Click ""That's the one"" on your profile and follow the instructions to opt out.",FALSE
70,EmailTracer,EmailTracer.com,Infotracer,https://www.infotracer.com/optout/,EmailTracer.com is owned by infotracer. Use the opt out form and fill out the information as it apears on your listing.,FALSE
71,Epsilon,Epsilon,,https://www.epsilon.com/us/marketing-data-summary-request,Follow the opt out form to remove your marketing information.,FALSE
72,FamilySearch,FamilySearch.org,,DataPrivacyOfficer@ChurchofJesusChrist.org,FamilySearch.org does not provide any kind of removal process directly on their site. To remove your information from the website contact the data privacy officer at DataPrivacyOfficer@ChurchofJesusChrist.org.,FALSE
73,FamilyTreeNow,FamilyTreeNow.com,,https://www.familytreenow.com/optout,Follow the instructions in the opt out link to remove your information.,FALSE
74,fastbackgroundcheck,fastbackgroundcheck.com,,https://www.fastbackgroundcheck.com/opt-out,"Use the opt out link to search for your own listing and click ""Remove my record"" after clicking on the matching result.",FALSE
75,FastPeopleSearch,FastPeopleSearch.com,,https://www.fastpeoplesearch.com/removal,"Use the out tool to find your own listing. On your own listing click ""view free details"" and then click ""remove my record.""",FALSE
76,FindLocalPeople,FindLocalPeople.com,,https://www.findlocalpeople.com/people-locator/change-listing.html,Find your own listing and click on it. Copy and paste this URL into the opt out form.,FALSE
77,FindPeopleSearch,FindPeopleSearch.com,,https://www.findpeoplesearch.com/customerservice/,Use the opt out form to remove your listing.,FALSE
78,findrec,findrec.com,,https://www.findrec.com/ng/control/privacy,Use the opt out tool to remove your listing.,FALSE
79,FireArmsCalifornia,FireArmsCalifornia.org,, removals@licensedata.org,"Enter your first and last name, click ‘Find’. Copy the URL of your listing and email your removal request with the listing’s URL at removals@licensedata.org with ""Removal Request"" as the subject.",FALSE
80,FloridaProfilePages,FloridaProfilePages.com,,http://floridaprofilepages.com/Remove,"Go to floridaprofilepages.com and search for your listing. If your listing exists, enter the URL of it into the opt out form to remove.",FALSE
81,FloridaResidentsDirectory,FloridaResidentsDirectory.com,,https://www.floridaresidentsdirectory.com/opt-out,Search for own records. If it exists then fill out the opt out form with your profile URL for profile removal.,FALSE
82,FLVoters,FLVoters.com,,https://flvoters.com/removal.html,Use the removal form to remove your information.,FALSE
83,freecellsearch,freecellsearch.com,,https://www.freecellsearch.com/contacts.php,"Search for your own number on the site. If it exists, use the contact form to request removal.",FALSE
84,FreePeopleDirectory,FreePeopleDirectory.com,,https://www.freepeopledirectory.com/optout,"Search for your own listing on the site. If it exists, use the opt out form to submit the URL of your listing to remove it.",FALSE
85,FreePhoneTracer,FreePhoneTracer.com,,https://www.peoplesmart.com/optout-go,"Use the opt out link to search for your own listing and click ""That's the one"" to remove your information.",FALSE
86,FullNameDirectory,FullNameDirectory.com ,DOBSearch,https://www.dobsearch.com/people-finder/search-name.php,"Search for yourself using the search name link. Select your listing by checking the box to the left and click on Manage My Listing. Click ""I agree"" to having your information removed. Fill in your name only (no DOB) to request removal. ",FALSE
87,gladiknow,gladiknow.com,,https://www.gladiknow.com/opt-out,Using the opt out link search for your own listing. Click 'Select + View Details' on the matching listing. Scroll down the page to find the ‘Important Records’ section. Click the ‘OPT OUT/REMOVE MY DATA’ link in the bottom right corner.,FALSE
88,GoLookup,GoLookup.com,,https://www.golookup.com/support/optout,Use the opt out form and follow the instructions to remove your information.,FALSE
89,GovBackgroundChecks,GovBackgroundChecks.com,Truthfinder,https://www.truthfinder.com/opt-out/,"GovBackgroundChecks is owned by Truthfinder, so removing yourself from Truthfinder will remove yourself from GovBackgroundChecks. Search for your own profile. If it exists, click on the green ""Remove this Record"" on your profile.",FALSE
90,GovernmentRegistry,GovernmentRegistry.org,infotracer,https://www.infotracer.com/optout/,"Governmentregistry.org is owned by Infotracer, so removing yourself from InfoTracer will remove you from GovernmentRegistry. Search for your listing using the opt out tool and select ""Remove my Data"" next to your record.",FALSE
91,GovRegistr,GovRegistry.us,,http://govregistry.us/privacy.php,Include the information at the bottom of http://govregistry.us/privacy.php. Fax to (888) 446-1229.,FALSE
92,grey-pages,grey-pages.com,,https://www.grey-pages.com/removal,"Use the removal form to enter in your phone number and click on the ""opt out"" button.",FALSE
93,Hauziz,Hauziz.com,,support@hauziz.com,Email support@hauziz.com with “Removal” as the subject and a basic opt out form,FALSE
94,HeroSearches,HeroSearches.com,,support@herosearches.com,Email support@herosearches.com with the information that you want removed. Include URLs and include the information that is written exactly the way it is in your profile even if incorrect.,FALSE
95,Homemetry,Homemetry.com,,https://homemetry.com/,"Search for your own address on homemetry.com. If your address is listed, click on it and scroll down to ""Cost Estimate History"" and click on ""Information Control"" on the right side of the page. Select up to six pieces of information that you would like to remove - you cannot remove more than six records. Click ""Apply"".",FALSE
96,HPCC-USA,HPCC-USA.org,,https://www.hpcc-usa.org/research/change-listing.html,Search for your own listing if it exists under the phone and people search directories. Paste the URL(s) into the form to remove your profiles.,FALSE
97,IdentityPi,IdentityPi.com,,support@identitypi.com,"To opt out of an identitypi account, send an email to support@identitypi.com",FALSE
98,IDStrong,IDStrong.com,,https://www.idstrong.com/optout/,Use the removal form to complete the opt-out process.,FALSE
99,IDTrue,IDTrue.com,,https://www.idtrue.com/optout/,Using the opt out link search for your name using the form on the page and select your record for removal.,FALSE
100,InfoPay,InfoPay.com,Infotracer,https://www.infopay.com/optout,Use the online form to complete the removal process.,FALSE
101,InfoRegistry,InfoRegistry.com,Infotracer,https://www.infotracer.com/optout/,"InfoRegistr is owned by Infotracer, so removing yourself from InfoTracer will remove you from InfoRegistry. Search for your listing using the opt out tool and select ""Remove my Data"" next to your record.",FALSE
102,InfoSpace,InfoSpace.com,,https://system1.com/terms/privacy-policy/privacy-inquiries,Use the online privacy form to complete the removal process.,FALSE
103,InfoTracer,InfoTracer.com,,https://www.infotracer.com/optout/,"Search for your listing using the opt out tool and select ""Remove my Data"" next to your record.",FALSE
104,Inforver,Inforver.com,,https://inforver.com/ng/control/privacy,"Search for your own listing. If it exists, paste the URL of your listing into the opt out form.",FALSE
105,InstantCheckmate,InstantCheckmate.com,,https://www.instantcheckmate.com/opt-out/,"Search for your own listing. If it exists copy and paste the URL into the opt out form and click ""Remove this record.""",FALSE
106,InstantPeopleFinder,InstantPeopleFinder.com ,Intelius,https://www.intelius.com/opt-out/submit/,"InstantPeopleFinder is owned by Intelius, so removing yourself from Intelius will remove yourself from InstantPeopleFinder. Use the opt out link to search for your own listing and click ""select and continue"" to remove your profile.",FALSE
107,Inteligator,Inteligator.com,Infotracer,https://www.infotracer.com/optout/,"Inteligator.com is owned by Infotracer, so removing yourself from InfoTracer will remove you from Inteligator. Search for your listing using the opt out tool and select ""Remove my Data"" next to your record.",FALSE
108,Intelius,Intelius.com,,https://www.intelius.com/opt-out/,"Use the opt out tool to search for your listing. When it is found select ""Select and continue"". Follow the procedure to remove your listing.",FALSE
109,IntelRegistry,IntelRegistry.com,Infotracer,https://www.infotracer.com/optout/,"Intelregistry is owned by Infotracer, so removing yourself from InfoTracer will remove you from Intelregistry. Search for your listing using the opt out tool and select ""Remove my Data"" next to your record.",FALSE
110,JailBase,JailBase.com,,https://www.jailbase.com/contact/,Use the contact form to request profile removal.,FALSE
111,KiwiSearches,KiwiSearches.com,,https://kiwisearches.com/contact,Use the contact form with URL of listing if it exists to request removal. Write the information exactly as it appears in your listing even if incorrect.,FALSE
112,LeadFerret,LeadFerret.com,,removeme@leadferret.com,Submit your removal request to removeme@leadferret.com.,FALSE
113,LexisNexis,LexisNexis.com,,https://optout.lexisnexis.com/,Use the opt out form to opt out.,FALSE
114,LocateFamily,LocateFamily.com,,https://www.locatefamily.com/removal2.html,Use the opt out form for profile removal.,FALSE
115,LocatePeople,LocatePeople.org,,https://www.locatepeople.org/optout/,Search for your own listing If it exists. Paste the URL(s) into the opt out form to remove your profile.,FALSE
116,MarriageRecords,MarriageRecords.com,Infotracer,https://www.infotracer.com/optout/,"MarriageRecords is owned by Infotracer, so removing yourself from InfoTracer will remove you from MarriageRecords. Search for your listing using the opt out tool and select ""Remove my Data"" next to your record.",FALSE
117,MarriageRecords,MarriageRecords.org,,http://www.marriagerecords.org/site-lp_optout.php,Use the opt out page for profile removal. Information removal is by fax or email only.,FALSE
118,MashPanel,MashPanel.com,,http://www.mashpanel.com/remove.php,Follow the instructions on the opt out form to remove listings.,FALSE
119,MelissaData,MelissaData.com,,unsubscribe@melissa.com ,"Opt out of email marketing, direct mail marketing, or address listing on the website by contacting via email address unsubscribe@melissa.com",FALSE
120,MichiganResidentDatabase,MichiganResidentDatabase.com,,https://www.michiganresidentdatabase.com/opt-out,"Find the URL of your listing. If it exists, enter it into the opt out form.",FALSE
121,MillionPhone,MillionPhone.net,,https://millionphone.net/,Find the URL of your listing by clicking on your name. Scroll down until you see a list called Caller ID and click on the trash can next to your name and address. Enter your information as it appears in your listing to remove and click send.,FALSE
122,MyHeritage,MyHeritage.com,,privacy@myheritage.com,Delete your account on the website or contact privacy@myheritage.com.,FALSE
123,MyLife,MyLife.com,,https://www.mylife.com/ccpa/index.pubview or privacy@mylife.com,Use the opt out form to opt out of sale of personal information or email privacy@mylife.com to remove your listing.,FALSE
124,namesandfacts,namesandfacts.com,,https://namesandfacts.com/do-not-sell-my-info,"Use the ""do not sell my info"" form",FALSE
125,NDB,NDB.com,,https://ndb.com/contact.php,Use the contact form at https://ndb.com/contact.php to complete profile removal.,FALSE
126,neighborwho.com (BeenVerif,neighborwho.com (BeenVerified),,https://www.beenverified.com/app/optout/search,"NeighborWho is owned by BeenVerified, so removing your information from BeenVerified will remote it from NeighborWho. Use the opt out link to remove your profile if it exists on the site.",FALSE
127,Neighbor.Re,Neighbor.Report,,https://neighbor.report/remove,Search for your own profile on the website and copy the URL. Paste the URL into the opt out form and fill out other information as it appears in your listing to opt out.,FALSE
128,NewEnglandFacts,NewEnglandFacts.com,,https://newenglandfacts.com/ ,"Search for your own profile on the website. If it exists, click ""Control this profile"" next to your information and follow the instructions to opt out.",FALSE
129,NJParcels,NJParcels.com,,http://njparcels.com/redaction/,Search for your own listing and copy the URL of it. Enter it into the opt out form along with your information as it appears exactly in your profile to opt ou.,FALSE
130,NorthCarolinaResidentDatabase,NorthCarolinaResidentDatabase.com,,https://northcarolinaresidentdatabase.com/opt-out,"Find the URL of your listing. If it exists, enter it into the opt out form along with the information as it appears exactly in your listing.",FALSE
131,NotariesCalifornia,NotariesCalifornia.com,, contact@licensedata.org,"To opt out your information, send an email to  contact@licensedata.org.",FALSE
132,NumberGuru,NumberGuru.com,BeenVerified,https://www.beenverified.com/app/optout/search,NumberGuru is owned by BeenVerified. Use the opt out tool to complete the opt out process.,FALSE
133,NumLookup,NumLookup.com,,https://www.numlookup.com/opt_out,"Search for your own listing. If it exists enter your phone number into the opt out form and click ""Remove my info.""",FALSE
134,NumberVille,NumberVille.com,,https://numberville.com/,"Search for your own listing by entering your number on the search bar. In your personal profile click ""Report a problem"". In the comments or questions section, write a comment tha says to please remove personal information. Click on the submit button to remove profile.",FALSE
135,Number2Name,Number2Name.com,Infotracer,https://www.infotracer.com/optout/,"Number2Name is owned by Infotracer, so removing yourself from InfoTracer will remove you from Number2Name. Search for your listing using the opt out tool and select ""Remove my Data"" next to your record.",FALSE
136,Nuwber,Nuwber.com,,https://nuwber.com/removal/link,Search for your listing on nuwber.com and copy the URL of your listing if it exists. Enter the URL into the opt out form for immediate removal.,FALSE
137,OKCaller,OKCaller.com,,https://www.OKCaller.com,"Go to Okcaller.com and create an account using a throwaway email. Search for your phone number in the search bar on the top left of the page. Find your listing and click on it then scroll down and click ""This is my number"" on your listing if it exists. Click on ""Opt-out/Unlist"" to remove your profile.",FALSE
138,Old-Friend,Old-Friends.co,,https://old-friends.co/,"Find your name through the search. Find the listing you want to delete and hover your cursor over ""options"" and click ""Delete me.""",FALSE
139,OldPhoneBook,OldPhoneBook.com,,"paulmfield@gmail.com, lookupuk@gmail.com ",Email paulmfield@gmail.com and lookupuk@gmail.com with “Removal” as the subject with a URL of your listing. ,FALSE
140,OnlineSearches,OnlineSearches.com,Intelius,https://www.intelius.com/opt-out/submit/,"OnlineSearches is owned by Intelius, so removing yourself from Intelius will remove yourself from OnlineSearches. Use the opt out link to search for your own listing and click ""select and continue"" to remove your profile.",FALSE
141,Open-Public-Records,Open-Public-Records.com,Intelius,https://www.intelius.com/opt-out/submit/,"Open-Public-Records is owned by Intelius, so removing yourself from Intelius will remove yourself from Open-Public-Records. Use the opt out link to search for your own listing and click ""select and continue"" to remove your profile.",FALSE
142,PeekYou,PeekYou.com,,https://www.peekyou.com/about/contact/optout/index.php,Do a search on your own name. Use the opt out form and fill out the information as it appears on your listing. ,FALSE
143,PeepLookup,PeepLookup.com,,https://www.peeplookup.com/opt_out,Search for your own listing. If it exists copy the URL into the opt out form and follow instructions for profile removal.,FALSE
144,People-Background-Check,People-Background-Check.com,,https://people-background-check.com/ng/control/privacy,Search for your own listing. If it exists copy and paste the URL into the opt out form along with the other information as it appears in your listing.,FALSE
145,People-Search,People-Search.org,,https://www.people-search.org/,"Go to peoplesearch.org. Search for your profile and click on the request removal button, then follow the removal form to complete the opt out process.",FALSE
146,PeopleByName,PeopleByName.com,,http://www.peoplebyname.com/remove.php,Use the removal for to remove your information,FALSE
147,PeopleByPhone,peoplebyphone.com,,https://www.peoplebyphone.com/remove-me/,Use the removal for to remove your information,FALSE
148,PeopleFinder,PeopleFinder.com,,https://www.peoplefinders.com/manage,"Use the opt out link to locate your listing and click on ""this is me"", then click ""opt out my info"".",FALSE
149,PeopleFinders,PeopleFinders.com,,https://www.peoplefinders.com/opt-out,"Search for your own listing. If it exists, copy the URL into the opt out form to remove your profile.",FALSE
150,PeopleLooker,PeopleLooker.com,BeenVerified,https://www.beenverified.com/app/optout/search,Search for your own listing using the opt out tool. If it exists click on it to remove.,FALSE
151,PeopleLookUp,PeopleLookUp.com,USSearch,https://www.ussearch.com/opt-out/submit/,"Search for your own listing using the opt out tool. If it exists click ""remove this record"" on your listing to remove.",FALSE
152,people-search,people-search.org,Persopo,https://www.people-search.org/,Search for your name under the name search directory. Click on the 'request removal' link on your listing and enter information exactly as it appears in your listing. ,FALSE
153,PeopleSearchExpert,PeopleSearchExpert.com,,https://www.peoplesearchexpert.com/,"Search for your own listing on PeopleSearchExpert.com. Click ""request removal"" under ""view record."" Fill in the information as it appears in your listing to request removal and submit the form.",FALSE
154,PeopleSearchNow,PeopleSearchNow.com,,https://www.peoplesearchnow.com/opt-out,Use the online opt out form to remove your profile.,FALSE
155,PeopleSmart,PeopleSmart.com,BeenVerified,https://www.beenverified.com/f/optout/search,Use the online opt out form to remove your profile.,FALSE
156,PeopleSpy,PeopleSpy.com,Infotracer,https://www.infotracer.com/optout/,"PeopleSpy is owned by Infotracer, so removing yourself from InfoTracer will remove you from PeopleSpy. Search for your listing using the opt out tool and select ""Remove my Data"" next to your record.",FALSE
157,PeopleVerified,PeopleVerified.com,BeenVerfied,https://www.beenverified.com/f/optout/search,Use the online opt out form to remove your profile.,FALSE
158,PeopleWhiz,PeopleWhiz.com,,https://www.peoplewhiz.com/remove-my-info,Use the online form to complete the removal process.,FALSE
159,Persopo,Persopo.com,,support@persopo.com,"Search for your own records. If they exist contact support@persopo.com with ""Opt out"" as the subject and your information as it appears in the listing. ",FALSE
160,PhoneBooks,PhoneBooks.com,,https://www.phonebooks.com/,"Search for yourself by name and address. If your profile exists click on ""View full profile"" on the right. Scroll to the bottom of the listing and click the link that says ""Request this person be removed"" to complete the opt out process.",FALSE
161,PhoneDetective,PhoneDetective.com,BeenVerified,https://www.beenverified.com/app/optout/search,PhoneDetective is owned by BeenVerified. Use the opt out tool to complete the opt out process.,FALSE
162,PhoneOwner,PhoneOwner.com,Radaris,https://phoneowner.us/page/contact,"Use the contact form with URL of listing if it exists. Since Phoneowner.com is an affiliate website of Radaris.com, you need to also remove records from Radaris as well. Radaris records can be via the form on https://radaris.com/control/privacy. ",FALSE
163,PhoneRegistry,PhoneRegistry.com,,https://phoneregistry.com/contact/,Use the contact form with URL of listing if it exists to request removal. Write the information exactly as it appears in your listing even if incorrect.,FALSE
164,Ppl,ppl.pe,,https://www.publicdatausa.com/optout.php,Search for own records. If it exists then fill out the opt out form for profile removal.,FALSE
165,Premium.WhitePages,Premium.WhitePages.com,,https://support.whitepages.com/hc/en-us/requests/new,"Search for yourself on premium.whitepages.com and find your listing. Copy the link address by right clicking the Details button. Use the ""Submit a request"" page and choose ""I need to edit or remove a listing"". ",FALSE
166,PrivateEye,PrivateEye.com,,https://www.peoplefinders.com/opt-out,"PrivateEye is run by PeopleFinders, so removing your information from PeopleFinders will remove it from PrivateEye. Use the opt out link to find your listing and click n ""this is me"" and click ""this is me"" then ""opt out my info.""",FALSE
167,privatenumberchecker,privatenumberchecker.com,,https://www.privatenumberchecker.com/removal-request,"If your listing exists, use the opt out form and enter the information as it appears in your listing.",FALSE
168,PropertyShark,PropertyShark.com,,support@propertyshark.com,Email support@propertyshark.com with Removal as the subject.,FALSE
